concept;term;pinyin;translation;category
Development;发展;fāzhǎn;development;2013-2022 international addresses
Civilization;中国;Zhōngguó;China;2013-2022 international addresses
Cooperation;合作;hézuò;cooperation;2013-2022 international addresses
International Order;世界;shìjiè;world;2013-2022 international addresses
International Order;国际;guójì;international;2013-2022 international addresses
Civilization;人民;rénmín;people;2013-2022 international addresses
Civilization;中国的;Zhōngguó de;Chinese;2013-2022 international addresses
International Order;全球;quánqiú;global;2013-2022 international addresses
Economy;经济;jīngjì;economic;2013-2022 international addresses
Economy;增长;zēngzhǎng;growth;2013-2022 international addresses
Security;和平;hépíng;peace;2013-2022 international addresses
Economy;经济体;jīngjìtǐ;economy;2013-2022 international addresses
Security;安全;ānquán;security;2013-2022 international addresses
Cooperation;相互;xiānghù;mutual;2013-2022 international addresses
Development;未来;wèilái;future;2013-2022 international addresses
Economy;贸易;màoyì;trade;2013-2022 international addresses
Cooperation;支持;zhīchí;support;2013-2022 international addresses
Civilization;共同体;gòngtóngtǐ;community;2013-2022 international addresses
Development;建设;jiànshè;build;2013-2022 international addresses
Cooperation;共享;gòngxiǎng;shared;2013-2022 international addresses
Cooperation;促进;cùjìn;promote;2013-2022 international addresses
International Order;关系;guānxì;relations;2013-2022 international addresses
Development;道路;dàolù;road;2013-2022 international addresses
Development;努力;nǔlì;efforts;2013-2022 international addresses
Cooperation;朋友;péngyou;friends;2013-2022 international addresses
Cooperation;交流;jiāoliú;exchanges;2013-2022 international addresses
International Order;亚洲;Yàzhōu;Asia;2013-2022 international addresses
International Order;非洲;Fēizhōu;Africa;2013-2022 international addresses
Development;继续;jìxù;continue;2013-2022 international addresses
Development;发展中;fāzhǎn zhōng;developing;2013-2022 international addresses
Cooperation;友谊;yǒuyì;friendship;2013-2022 international addresses
Economy;投资;tóuzī;investment;2013-2022 international addresses
Development;进步;jìnbù;progress;2013-2022 international addresses
Development;改革;gǎigé;reform;2013-2022 international addresses
Governance;治理;zhìlǐ;governance;2013-2022 international addresses
International Order;区域;qūyù;regional;2013-2022 international addresses
Governance;倡议;chàngyì;initiative;2013-2022 international addresses
Development;挑战;tiǎozhàn;challenges;2013-2022 international addresses
Civilization;国家;guójiā;country;2013-2022 international addresses
Governance;体系;tǐxì;system;2013-2022 international addresses
Cooperation;共赢;gòngyíng;win-win;2013-2022 international addresses
Governance;重大;zhòngdà;major;2013-2022 international addresses
International Order;非洲的;Fēizhōu de;African;2013-2022 international addresses
Civilization;国家级;guójiā jí;national;2013-2022 international addresses
International Order;亚洲的;Yàzhōu de;Asian;2013-2022 international addresses
Development;追求;zhuīqiú;pursue;2013-2022 international addresses
Development;机遇;jīyù;opportunities;2013-2022 international addresses
Civilization;历史;lìshǐ;history;2013-2022 international addresses
Development;可持续;kě chíxù;sustainable;2013-2022 international addresses
Civilization;社会;shèhuì;social;2013-2022 international addresses
Development;前进;qiánjìn;forward;2013-2022 international addresses
International Order;金砖国家;Jīnzhuān guójiā;BRICS;2013-2022 international addresses
Development;创新;chuàngxīn;innovation;2013-2022 international addresses
International Order;地区;dìqū;region;2013-2022 international addresses
Development;加强;jiāqiáng;strengthen;2013-2022 international addresses
Governance;坚持;jiānchí;uphold;2013-2022 international addresses
Cooperation;伙伴关系;huǒbàn guānxì;partnership;2013-2022 international addresses
