year_filter,date,article_id,title,filename,chars
2017,2017-12-31,29738076,习近平在党的十九届一中全会上的讲话,2017-12-31__29738076__习近平在党的十九届一中全会上的讲话.txt,8035
2017,2017-12-29,29736811,习近平：在全国政协新年茶话会上的讲话,2017-12-29__29736811__习近平：在全国政协新年茶话会上的讲话.txt,2207
2017,2017-12-15,29708436,习近平在视察第71集团军时强调 深入学习贯彻党的十九大精神 全力推进新时代练兵备战工作,2017-12-15__29708436__习近平在视察第71集团军时强调 深入学习贯彻党的十九大精神 全力推进新时代练兵备战工作.txt,1645
2017,2017-12-14,29705577,习近平在江苏徐州市考察时强调 深入学习贯彻党的十九大精神 紧扣新时代要求推动改革发展,2017-12-14__29705577__习近平在江苏徐州市考察时强调 深入学习贯彻党的十九大精神 紧扣新时代要求推动改革发展.txt,3054
2017,2017-12-12,29700205,习近平：纠正“四风”不能止步 作风建设永远在路上,2017-12-12__29700205__习近平：纠正“四风”不能止步 作风建设永远在路上.txt,1166
2017,2017-12-02,29681332,携手建设更加美好的世界习近平在中国共产党与世界政党高层对话会上的主旨讲话（2017年12月1日，北京）,2017-12-02__29681332__携手建设更加美好的世界习近平在中国共产党与世界政党高层对话会上的主旨讲话（2017年12月1日，北京）.txt,4692
2017,2017-11-13,29643593,习近平在老挝媒体发表署名文章,2017-11-13__29643593__习近平在老挝媒体发表署名文章.txt,2688
2017,2017-11-12,29640594,携手谱写亚太合作共赢新篇章——在亚太经合组织第二十五次领导人非正式会议第一阶段会议上的发言（2017年11月11日，岘港）,2017-11-12__29640594__携手谱写亚太合作共赢新篇章——在亚太经合组织第二十五次领导人非正式会议第一阶段会议上的发言（2017年11月11日，岘港）.txt,1846
2017,2017-11-11,29639925,抓住世界经济转型机遇 谋求亚太更大发展——在亚太经合组织工商领导人峰会上的主旨演讲（2017年11月10日，岘港）,2017-11-11__29639925__抓住世界经济转型机遇 谋求亚太更大发展——在亚太经合组织工商领导人峰会上的主旨演讲（2017年11月10日，岘港）.txt,5272
2017,2017-10-28,29613660,习近平在中国共产党第十九次全国代表大会上的报告,2017-10-28__29613660__习近平在中国共产党第十九次全国代表大会上的报告.txt,32655
2017,2017-10-27,29613458,习近平：决胜全面建成小康社会 夺取新时代中国特色社会主义伟大胜利 ——在中国共产党第十九次全国代表大会上的报告,2017-10-27__29613458__习近平：决胜全面建成小康社会 夺取新时代中国特色社会主义伟大胜利 ——在中国共产党第十九次全国代表大会上的报告.txt,32611
2017,2017-10-26,29611270,习近平：为实现党在新时代的强军目标 把人民军队全面建成世界一流军队而奋斗,2017-10-26__29611270__习近平：为实现党在新时代的强军目标 把人民军队全面建成世界一流军队而奋斗.txt,2364
2017,2017-10-26,29609028,习近平：新时代要有新气象更要有新作为中国人民生活一定会一年更比一年好,2017-10-26__29609028__习近平：新时代要有新气象更要有新作为中国人民生活一定会一年更比一年好.txt,2210
2017,2017-10-25,29608726,习近平：新时代要有新气象更要有新作为 中国人民生活一定会一年更比一年好,2017-10-25__29608726__习近平：新时代要有新气象更要有新作为 中国人民生活一定会一年更比一年好.txt,2061
