year_filter,date,article_id,title,filename,chars,is_short,status
2023,2023-12-31,40150210,以美丽中国建设全面推进人与自然和谐共生的现代化,2023-12-31__40150210__以美丽中国建设全面推进人与自然和谐共生的现代化.txt,4253,0,ok
2023,2023-12-31,40150028,国家主席习近平将发表二〇二四年新年贺词,2023-12-31__40150028__国家主席习近平将发表二〇二四年新年贺词.txt,196,1,ok
2023,2023-12-30,40149781,在全国政协新年茶话会上的讲话（2023年12月29日）,2023-12-30__40149781__在全国政协新年茶话会上的讲话（2023年12月29日）.txt,1059,0,ok
2023,2023-12-29,40149649,中华人民共和国主席令（第十九号）,2023-12-29__40149649__中华人民共和国主席令（第十九号）.txt,182,1,ok
2023,2023-12-29,40149622,习近平接见2023年度驻外使节工作会议与会使节并发表重要讲话,2023-12-29__40149622__习近平接见2023年度驻外使节工作会议与会使节并发表重要讲话.txt,1546,0,ok
2023,2023-12-29,40149620,习近平：在全国政协新年茶话会上的讲话,2023-12-29__40149620__习近平：在全国政协新年茶话会上的讲话.txt,1060,0,ok
2023,2023-12-29,40149619,全国政协举行新年茶话会 习近平发表重要讲话,2023-12-29__40149619__全国政协举行新年茶话会 习近平发表重要讲话.txt,1661,0,ok
2023,2023-12-27,40147415,在纪念毛泽东同志诞辰130周年座谈会上的讲话（2023年12月26日，上午）,2023-12-27__40147415__在纪念毛泽东同志诞辰130周年座谈会上的讲话（2023年12月26日，上午）.txt,8551,0,ok
2023,2023-12-26,40147128,中共中央举行纪念毛泽东同志诞辰130周年座谈会 习近平发表重要讲话,2023-12-26__40147128__中共中央举行纪念毛泽东同志诞辰130周年座谈会 习近平发表重要讲话.txt,3152,0,ok
2023,2023-12-16,40140179,《求是》杂志发表习近平总书记重要文章 在二十届中央机构编制委员会第一次会议上的讲话,2023-12-16__40140179__《求是》杂志发表习近平总书记重要文章 在二十届中央机构编制委员会第一次会议上的讲话.txt,1031,0,ok
2023,2023-12-15,40139973,在二十届中央机构编制委员会第一次会议上的讲话,2023-12-15__40139973__在二十届中央机构编制委员会第一次会议上的讲话.txt,4029,0,ok
2023,2023-12-14,40138728,赓续传统友谊，开创中越命运共同体建设新征程——会见中越两国青年和友好人士代表时的讲话（2023年12月13日，河内）,2023-12-14__40138728__赓续传统友谊，开创中越命运共同体建设新征程——会见中越两国青年和友好人士代表时的讲话（2023年12月13日，河内）.txt,2303,0,ok
2023,2023-12-13,40138279,习近平会见中越两国青年和友好人士代表时的讲话（全文）,2023-12-13__40138279__习近平会见中越两国青年和友好人士代表时的讲话（全文）.txt,2353,0,ok
